ID,lon,lat,metersLongitude,metersLatitude,d2H,dDprecip,sdResid,closestLikely_lon_dd,closestLikely_lat_dd,minDist_km,theta_from_site,theta_from_origin,closestLikely_lon_m,closestLikely_lat_m,probOfOrigin_north_OfSampleSite,probOfOrigin_south_OfSampleSite
X10,-87.323772,40.621854,689710.815139552,104962.003525458,-8.48,-23.2747368197309,12.1003141349149,-88.6672906222937,37.624529816203,352.44,18.83,-160.33,610431.968761103,-256171.86268642,0.0272,0.9728
X11,-87.323772,40.621854,689710.815139552,104962.003525458,-12.68,-26.7933577097386,12.1003141349149,-88.4458507905419,38.1602146862296,289.88,19.12,-160.16,623811.968761103,-191911.86268642,0.0354,0.9646
X14,-85.008886,40.169895,879163.044345718,71065.7944771736,2.47,-14.1011894993535,12.1003141349149,-89.0440892690911,37.0964528866938,489.64,44.6,-132.88,583671.968761103,-320431.86268642,0.0111,0.9889
X15,-85.008886,40.169895,879163.044345718,71065.7944771736,-14.6,-28.4018701165993,12.1003141349149,-87.4081363172391,38.0196112185474,316.31,40.26,-138.23,710781.968761103,-201091.86268642,0.0525,0.9475
X16,-85.008886,40.169895,879163.044345718,71065.7944771736,-7.95,-22.830720374087,12.1003141349149,-88.3649274884907,37.4508918672868,419.55,42.96,-134.94,637191.968761103,-274531.86268642,0.0325,0.9675
X17,-85.008886,40.169895,879163.044345718,71065.7944771736,-9.78,-24.3638337618761,12.1003141349149,-88.1872293079717,37.5972872971864,396.95,43.01,-134.99,650571.968761103,-256171.86268642,0.0416,0.9584
X18,-85.008886,40.169895,879163.044345718,71065.7944771736,-21.16,-33.89762084004,12.1003141349149,-86.9277501762222,39.162800098614,199.02,55.21,-123.56,737541.968761103,-63391.8626864199,0.0806,0.9194
X19,-83.66409,40.669617,978504.486072431,142770.748701424,-9.27,-23.9365726538038,12.1003141349149,-88.2053175815543,37.4416384231237,531.77,46.23,-130.9,650571.968761103,-274531.86268642,0.0236,0.9764
X20,-84.585488,41.113915,899484.961325366,185687.958543394,-6.27,-21.4232720180839,12.1003141349149,-88.3118195849356,37.2127193888713,539.6,35.47,-142.17,643881.968761103,-302071.86268642,0.0141,0.9859
X21,-84.585488,41.113915,899484.961325366,185687.958543394,-12.8,-26.8938897351674,12.1003141349149,-87.7492091661958,37.8843393622141,450.06,36.2,-141.79,684021.968761103,-219451.86268642,0.0269,0.9731
X22,-84.585488,41.113915,899484.961325366,185687.958543394,-9.3,-23.961705660161,12.1003141349149,-88.4985200493309,37.6934678612809,507.63,40.36,-137.15,623811.968761103,-246991.86268642,0.0176,0.9824
X23,-84.585488,41.113915,899484.961325366,185687.958543394,-8.59,-23.3668911763739,12.1003141349149,-88.2053175815543,37.4416384231237,513.48,36.32,-141.38,650571.968761103,-274531.86268642,0.0171,0.9829
X24,-84.585488,41.113915,899484.961325366,185687.958543394,-18.17,-31.3926978731059,12.1003141349149,-87.1334834239675,38.8632669798116,331.34,40.24,-138.12,724161.968761103,-100111.86268642,0.0389,0.961
X25,-84.585488,41.113915,899484.961325366,185687.958543394,-14.38,-28.2175614033132,12.1003141349149,-87.8623960144831,38.2827890668539,421.59,40.76,-137.14,670641.968761103,-173551.86268642,0.0297,0.9703
X26,-89.530717,41.387866,508422.942731422,181176.645118748,-41.05,-50.5608040548625,12.1003141349149,-89.5068088407068,41.4147100351181,3.59,-146.15,33.84,510081.968761103,184468.13731358,0.1777,0.8223
X8,-87.323772,40.621854,689710.815139552,104962.003525458,-17.13,-30.5214203193897,12.1003141349149,-87.550810756989,38.8115579609943,201.94,5.46,-174.4,690711.968761103,-109291.86268642,0.055,0.945
X9,-87.323772,40.621854,689710.815139552,104962.003525458,-10.5,-24.9670259144489,12.1003141349149,-88.4007522644096,37.8445604626071,322.04,16.44,-162.88,630501.968761103,-228631.86268642,0.0293,0.9707
